part_id,part_name,category
SP-101,Electronic Pump,Electronics
SP-102,Engine Sensor,Engine
SP-103,Engine Pad Set,Engine
SP-104,Filter Rotor,Filters
SP-105,Brake Rotor,Brakes
SP-106,Supenion Pad Set,Suspension
SP-107,Brake Gasket,Brakes
SP-108,HVAC Gasket,HVAC
SP-109,Engine Pump,Engine
SP-110,Filter Sensor,Filters
SP-111,Brake Rotor,Brakes
SP-112,Electronic Pad Set,Electronics
SP-113,Engine Pad Set,Engine
SP-114,Engine Filter,Engine
SP-115,Electronic Rotor,Electronics
SP-116,Brake Filter,Brakes
SP-117,Engine Rotor,Engine
SP-118,Exhaut Pump,Exhaust
SP-119,Filter Sensor,Filters
SP-120,Engine Sensor,Engine
SP-121,Filter Pad Set,Filters
SP-122,Supenion Sensor,Suspension
SP-123,Electronic Gasket,Electronics
SP-124,Filter Filter,Filters
SP-125,Brake Rotor,Brakes
SP-126,Supenion Pump,Suspension
SP-127,Electronic Gasket,Electronics
SP-128,HVAC Sensor,HVAC
SP-129,Brake Rotor,Brakes
SP-130,HVAC Sensor,HVAC
SP-131,Filter Filter,Filters
SP-132,HVAC Pad Set,HVAC
SP-133,Brake Rotor,Brakes
SP-134,Brake Pump,Brakes
SP-135,Exhaut Pump,Exhaust
SP-136,Supenion Pad Set,Suspension
SP-137,Supenion Sensor,Suspension
SP-138,Supenion Sensor,Suspension
SP-139,HVAC Gasket,HVAC
SP-140,Electronic Gasket,Electronics
SP-141,Brake Filter,Brakes
SP-142,Exhaut Gasket,Exhaust
SP-143,Filter Pad Set,Filters
SP-144,HVAC Gasket,HVAC
SP-145,Electronic Rotor,Electronics
SP-146,Brake Sensor,Brakes
SP-147,Engine Sensor,Engine
SP-148,Brake Gasket,Brakes
SP-149,Engine Sensor,Engine
SP-150,Supenion Gasket,Suspension
SP-151,Supenion Pad Set,Suspension
SP-152,Supenion Filter,Suspension
SP-153,Supenion Pad Set,Suspension
SP-154,Supenion Pump,Suspension
SP-155,HVAC Pad Set,HVAC
SP-156,Electronic Filter,Electronics
SP-157,HVAC Filter,HVAC
SP-158,HVAC Sensor,HVAC
SP-159,Engine Sensor,Engine
SP-160,Supenion Gasket,Suspension
SP-161,Supenion Sensor,Suspension
SP-162,Filter Gasket,Filters
SP-163,Electronic Pump,Electronics
SP-164,HVAC Pad Set,HVAC
SP-165,HVAC Pump,HVAC
SP-166,Brake Pad Set,Brakes
SP-167,Filter Pump,Filters
SP-168,Brake Pad Set,Brakes
SP-169,HVAC Filter,HVAC
SP-170,HVAC Rotor,HVAC
SP-171,Engine Filter,Engine
SP-172,HVAC Pad Set,HVAC
SP-173,Exhaut Rotor,Exhaust
SP-174,Brake Pad Set,Brakes
SP-175,Filter Sensor,Filters
SP-176,Exhaut Pump,Exhaust
SP-177,Engine Pad Set,Engine
SP-178,Filter Sensor,Filters
SP-179,Filter Pump,Filters
SP-180,Exhaut Pad Set,Exhaust
SP-181,Brake Rotor,Brakes
SP-182,Brake Pad Set,Brakes
SP-183,Electronic Filter,Electronics
SP-184,Filter Pad Set,Filters
SP-185,Electronic Sensor,Electronics
