part_id,stock_level,cost_price,entry_date
SP-236,Low Stock,287.32,2024-06-29
SP-325,248,388.87,"Mar 17, 2025"
SP-179,82,109,2025-04-14
SP-332,171,419.6,2025-05-10
SP-268,72,279.69,2024-04-08
SP-305,UNAVAILABLE,422.36,2024-02-20
SP-481,308,,2024-07-22
SP-272,377,438.77,2024-09-03T00:00:00
SP-312,247,$203.60,05/28/24
SP-328,381,137.9,2025-01-22
SP-310,160,190.36,2024-11-09
SP-341,Low Stock,132,03/28/24
SP-377,237,$45.49,02/21/25
SP-155,60,69,2025-04-26
SP-176,214,$285.43,"Apr 07, 2024"
SP-245,UNAVAILABLE,326.83,2024-08-25
SP-335,392,$221.51,03/15/25
SP-495,488,372.35,"Oct 08, 2024"
SP-274,43,27.54,"Jul 13, 2024"
SP-440,15,376.45,"Jan 31, 2024"
SP-371,19,168.26,"Feb 19, 2025"
SP-364,326,$137.34,12/25/24
SP-452,487,221.87,"Jul 31, 2024"
SP-396,low stock,58,"Mar 04, 2024"
SP-276,Low Stock,59.59,2024-09-29
SP-245,low stock,$74.69,2025-04-16
SP-344,249,$412.76,"Oct 06, 2024"
SP-414,292,215.44,2024-02-08T00:00:00
SP-362,265,,"Feb 22, 2024"
SP-224,182,72,2024-04-17
SP-149,,262,2025-07-26
SP-224,357,186.78,"Mar 02, 2024"
SP-167,99,48,"Jul 24, 2025"
SP-252,250,185.44,"Feb 08, 2024"
SP-354,175,$234.83,"Feb 19, 2024"
SP-456,418,39.53,2025-06-06
SP-236,144,$352.37,"Aug 06, 2024"
SP-250,104,56.23,2024-08-20
SP-466,195,303.98,12/14/24
SP-391,438,$200.14,2024-09-04
SP-328,415,$406.01,"Jul 20, 2024"
SP-277,365,74.91,2025-02-06T00:00:00
SP-447,152,98.72,2025-05-16
SP-225,380,394.09,"Nov 04, 2024"
SP-475,394,181.14,2024-01-27
SP-169,,111.89,2024-03-31
SP-116,266,415.34,03/29/25
SP-116,98,$82.96,2024-07-21T00:00:00
SP-436,130,$220.60,11/20/24
SP-300,236,$258.97,2025-03-05
SP-328,43,317.08,"Sep 22, 2024"
SP-204,48,242,04/04/24
SP-488,450,49.97,2024-02-15
SP-102,Out of Stock,26.39,"Apr 15, 2024"
SP-288,397,94.98,2025-05-14
SP-168,108,$56.71,"Aug 21, 2024"
SP-183,84,154.24,06/12/24
SP-415,299,$441.94,06/13/25
SP-282,169,407.59,04/15/25
SP-270,469,360,"May 02, 2024"
SP-157,Out of Stock,293.33,03/08/24
SP-455,282,45.24,06/03/25
SP-249,479,168,2024-06-09T00:00:00
SP-161,Low Stock,419.69,2024-09-20
SP-373,90,78,"Sep 30, 2024"
SP-170,247,284.67,"Feb 21, 2024"
SP-449,81,221,2024-01-25
SP-210,498,355,2024-04-07
SP-477,70,$434.16,01/18/25
SP-119,137,21.31,2025-01-22
SP-152,71,437.67,09/17/24
SP-353,312,85.21,"Mar 20, 2024"
SP-443,369,122.13,"Aug 19, 2024"
SP-227,396,74.93,02/07/25
SP-240,183,214.66,"Jul 31, 2024"
SP-266,208,391,02/04/25
SP-204,None,349,01/03/24
SP-386,Low Stock,198,"Sep 08, 2024"
SP-332,116,$330.24,"Jan 15, 2024"
SP-131,Out of Stock,$410.16,"Aug 25, 2024"
SP-161,322,20.11,"Jan 24, 2025"
SP-268,150,$347.44,08/12/24
SP-300,Out of Stock,$5.31,2024-08-24
SP-363,186,200.74,07/07/24
SP-238,286,141.65,10/24/24
SP-444,142,$74.31,09/17/24
SP-389,72,115,2025-04-06
SP-259,UNAVAILABLE,182.28,"Dec 01, 2024"
SP-267,289,240.55,2024-06-03T00:00:00
SP-475,,$54.98,"Oct 24, 2024"
SP-314,,236.83,2024-04-07
SP-150,330,53.41,2024-09-17
SP-462,271,421,2024-01-19
SP-113,457,296.24,"Jan 11, 2025"
SP-213,379,388.94,2024-07-10
SP-288,None,$437.67,2024-06-01T00:00:00
SP-258,126,11.16,2025-04-23
SP-178,None,356.87,2025-01-01
SP-353,60,19.81,05/31/24
SP-127,LOW,32.23,2024-01-27
SP-481,191,440,2024-06-13
SP-463,354,$131.75,04/11/24
SP-408,,68.51,2025-07-17
SP-401,Low Stock,432.11,2024-07-23
SP-458,38,,11/11/24
SP-191,191,$348.86,2024-12-26
SP-188,51,242,06/17/25
SP-153,370,$254.49,2025-04-08
SP-176,423,$63.12,04/28/24
SP-124,446,219,2024-10-25T00:00:00
SP-424,48,$220.54,"Aug 17, 2024"
SP-106,Low Stock,$255.81,2024-02-18
SP-132,UNAVAILABLE,$184.09,"Apr 15, 2025"
SP-245,265,262.12,07/13/25
SP-153,,367.35,2024-09-02
SP-417,347,,2024-07-25
SP-427,low stock,$303.25,"May 19, 2024"
SP-302,Out of Stock,304,"Mar 16, 2024"
SP-273,381,$220.44,02/08/24
SP-191,227,266.47,09/10/24
SP-448,22,34.93,"Feb 04, 2025"
SP-445,158,$241.30,2024-06-01
SP-411,135,265.9,"Aug 27, 2024"
SP-186,336,,2024-08-17
SP-466,UNAVAILABLE,$384.52,2025-07-28
SP-229,76,$69.63,"Jun 17, 2024"
SP-185,Out of Stock,87,"May 02, 2024"
SP-127,435,285.13,2024-01-05
SP-436,124,$25.56,"Apr 01, 2024"
SP-152,415,$233.39,"May 15, 2025"
SP-110,123,305,2025-02-23
SP-314,75,162,"Jan 24, 2024"
SP-245,Low Stock,30,2024-04-21
SP-428,432,18.75,"Sep 22, 2024"
SP-105,86,94,"Sep 19, 2024"
SP-350,428,$416.64,2025-04-21
SP-257,,,2024-03-01
SP-214,159,194.94,2024-12-28
SP-495,low stock,,"Jun 16, 2024"
SP-326,88,$40.79,08/30/24
SP-238,360,70.36,07/09/24
SP-329,191,$188.08,2025-07-24
SP-291,454,397.23,2024-03-22
SP-263,434,315,"May 08, 2024"
SP-373,409,,07/05/25
SP-434,198,$320.75,2025-06-02
SP-407,UNAVAILABLE,$133.99,2025-05-11T00:00:00
SP-247,Low Stock,$104.61,"Mar 29, 2025"
SP-434,294,187.0,2025-06-02
SP-318,464,126.69,"Jan 11, 2025"
SP-334,273,$282.13,2024-01-31T00:00:00
SP-467,204,$446.48,08/06/24
SP-233,16,53.77,"May 12, 2024"
SP-129,250,181.81,"Jul 24, 2024"
SP-469,477,140.12,07/13/24
SP-349,,$46.22,09/13/24
SP-300,6,258.64,01/16/24
SP-295,292,96.26,"Mar 29, 2024"
SP-447,485,443.77,"Jan 30, 2024"
SP-249,485,345.4,06/30/25
SP-163,low stock,273,2025-01-28T00:00:00
SP-457,399,56.81,"Sep 18, 2024"
SP-250,109,292,07/08/24
SP-417,137,$143.41,"Jul 12, 2025"
SP-164,187,272,2024-08-25
SP-409,244,$279.47,2025-01-15
SP-257,96,205.85,10/28/24
SP-268,240,$433.89,2025-05-02
SP-227,,422.3,07/27/24
SP-131,65,$232.71,"Dec 19, 2024"
SP-259,372,419.4,11/15/24
SP-431,354,,2024-01-09
SP-297,440,37.36,"Mar 20, 2024"
SP-130,93,39.37,"Feb 07, 2025"
SP-163,396,$253.42,"Apr 26, 2024"
SP-485,487,$62.70,2024-12-19
SP-278,Out of Stock,447.7,2024-09-14
SP-189,357,300.18,2024-03-03
SP-251,LOW,435.0,10/15/24
SP-160,352,102.17,2025-04-18
SP-115,376,$217.87,"Jan 28, 2024"
SP-350,291,70.03,05/26/25
SP-421,214,$168.60,2024-01-24
SP-373,Low Stock,338.06,2024-03-17
SP-155,482,266.53,2025-06-09
SP-166,71,$55.75,2025-07-16
SP-206,470,$194.19,2025-02-16T00:00:00
SP-334,457,$306.20,08/28/24
SP-259,291,13,"Oct 16, 2024"
SP-294,307,,2025-04-18
SP-474,276,168.93,2024-12-26
SP-188,11,351,"Jul 29, 2024"
SP-308,None,$410.71,2025-01-03
SP-371,158,,2024-08-25T00:00:00
SP-242,124,389.75,"Aug 06, 2024"
SP-220,201,378,"Sep 12, 2024"
SP-176,179,236.68,2025-07-05
SP-397,344,$447.66,2025-07-09
SP-129,366,56.32,2024-11-11
SP-399,462,15.22,2024-02-17
SP-255,366,$402.24,"Jan 13, 2025"
SP-256,209,361.26,2024-12-17
SP-423,275,288.55,"Dec 25, 2024"
SP-148,408,161.28,"Mar 04, 2024"
SP-355,146,$70.30,"Jan 26, 2024"
SP-458,,,2024-03-12
SP-262,282,432.78,12/08/24
SP-216,89,$68.47,2025-06-17
SP-187,164,64,2024-06-16
SP-194,247,107.59,09/05/24
SP-441,76,$411.12,10/03/24
SP-476,222,$7.99,2025-03-02
SP-396,366,429,2025-02-21
SP-470,127,$368.62,2024-08-14
SP-378,92,433.58,2024-10-07T00:00:00
SP-195,371,176,2024-04-08
SP-276,None,$185.80,2024-08-01T00:00:00
SP-324,487,103.95,"Jan 11, 2024"
SP-185,19,128.65,2024-05-28
SP-215,120,$332.06,2025-07-28
SP-112,496,25.07,03/03/24
SP-352,375,$274.80,2024-11-23
SP-279,,$385.41,"Jul 27, 2024"
SP-459,Low Stock,356.41,"Jan 23, 2025"
SP-131,Low Stock,265.75,07/16/25
SP-462,328,313.86,"Apr 26, 2024"
SP-230,Out of Stock,$73.55,2024-10-11
SP-372,425,220.51,04/05/25
SP-247,60,$124.60,03/03/25
SP-379,low stock,123.98,"Feb 09, 2025"
SP-260,116,332.93,"May 02, 2025"
SP-294,6,34.25,2024-08-05
SP-445,31,$102.79,"Jun 02, 2024"
SP-265,,293.56,04/14/25
SP-459,327,25.43,"Jan 01, 2024"
SP-426,122,148.14,"Jan 18, 2024"
SP-476,240,,"Jul 06, 2024"
SP-477,UNAVAILABLE,127.62,2025-03-15
SP-238,142,37,2024-09-14
SP-244,49,$65.99,2024-05-26
SP-334,474,449,2025-06-15
SP-187,90,405,2025-07-14
SP-166,225,325.07,2025-02-24
SP-407,178,$366.13,07/10/24
SP-165,434,$123.99,"Apr 29, 2024"
SP-350,460,$168.07,"Feb 22, 2025"
SP-304,195,243.3,2024-04-09
SP-464,Low Stock,38,2025-07-05
SP-164,396,376.51,2024-12-29T00:00:00
SP-218,257,447.17,2024-08-05T00:00:00
SP-148,467,246.24,"Jul 25, 2024"
SP-173,308,277,"Jul 03, 2024"
SP-215,81,427.41,2025-05-08
SP-247,378,254.97,04/14/25
SP-467,,47.25,04/05/25
SP-373,138,258.83,"Dec 02, 2024"
SP-283,358,$202.22,2025-05-26T00:00:00
SP-332,454,$161.88,2024-12-29
SP-444,386,44.8,2024-08-21T00:00:00
SP-299,330,288.93,2024-05-15
SP-288,Out of Stock,$279.25,2025-04-15
SP-209,,226.53,2024-07-09
SP-451,68,$147.93,"Sep 04, 2024"
SP-211,102,$9.29,"Mar 30, 2024"
SP-312,446,,2024-11-16
SP-136,,35.2,2025-05-16
SP-214,210,311.51,2025-01-13
SP-449,431,273.01,"Mar 13, 2025"
SP-258,176,390,2024-06-20
SP-494,,244.09,2025-05-07
SP-303,99,$436.66,04/26/24
SP-171,low stock,76.84,07/15/25
SP-219,316,$364.89,"Apr 15, 2025"
SP-189,,38.11,2024-10-08T00:00:00
SP-385,282,281.4,2025-07-14
SP-486,416,$146.78,"Jun 30, 2025"
SP-437,low stock,$131.35,2025-06-08
SP-485,21,27,"Jan 01, 2025"
SP-385,,$107.43,2025-07-13
SP-110,81,83.18,02/10/25
SP-175,300,227,2025-07-22T00:00:00
SP-179,,212.91,2024-06-24T00:00:00
SP-417,114,143,2024-08-20
SP-315,113,272.61,2024-06-12
SP-245,None,27.61,2024-08-07
SP-414,LOW,84.53,2024-08-11
SP-175,LOW,$29.27,12/23/24
SP-384,152,$120.55,2024-09-29
SP-496,218,360.98,05/14/25
SP-376,367,$362.35,"Mar 27, 2025"
SP-230,290,$73.78,2024-12-31
SP-136,40,386.04,"Dec 30, 2024"
SP-450,448,336,2024-09-06T00:00:00
SP-431,403,188.23,2025-06-21
SP-168,298,$18.45,08/27/24
SP-152,None,$380.69,2024-03-07T00:00:00
SP-259,42,135.54,2024-01-14
SP-347,398,398.59,2025-05-08
SP-324,10,170,2025-06-10T00:00:00
SP-320,,243.37,06/05/25
SP-394,Out of Stock,40,"May 25, 2025"
SP-169,54,335.69,2024-03-11
SP-471,Out of Stock,$405.37,"Mar 05, 2024"
SP-130,320,232.38,2025-01-29
SP-383,130,$260.06,2024-11-21
SP-358,Low Stock,$261.56,08/16/24
SP-150,None,37.65,2024-07-02
SP-291,472,$215.36,"Dec 10, 2024"
SP-268,293,413.27,10/05/24
SP-468,31,299.62,2024-06-26
SP-218,239,397.58,"Nov 05, 2024"
SP-180,,204.55,2025-02-12
SP-475,37,$436.33,2025-02-12
SP-488,488,354,2025-06-11
SP-318,382,$444.42,"May 31, 2024"
SP-430,104,409.01,2025-07-30
SP-322,67,146.13,2024-02-28
SP-467,LOW,,"Oct 10, 2024"
SP-249,97,252.72,2024-04-09
SP-161,123,389,"Mar 28, 2025"
SP-348,LOW,247,02/16/25
SP-148,193,161.49,2024-03-12T00:00:00
SP-457,389,141.04,2024-08-19T00:00:00
SP-117,126,367.38,"May 24, 2024"
SP-406,290,382.22,04/05/25
SP-266,17,$229.75,2024-01-25
SP-267,398,251.37,2024-09-26
SP-459,244,326.69,2025-01-30
SP-135,,,2025-05-07T00:00:00
SP-143,,$323.67,2024-12-04
SP-286,Out of Stock,303,"Aug 25, 2024"
SP-393,366,$420.44,2025-03-14
SP-170,264,$416.14,2024-09-17
SP-415,267,125,"Jun 25, 2024"
SP-208,99,98,02/07/25
SP-453,Low Stock,,2024-04-11T00:00:00
SP-470,,$356.61,"Jul 13, 2024"
SP-275,Low Stock,,"Apr 03, 2025"
SP-154,94,$164.21,09/21/24
SP-193,,184,"May 22, 2024"
SP-191,LOW,115.74,2025-03-17
SP-141,307,322.0,"Jan 27, 2024"
SP-343,,$252.41,03/04/25
SP-223,,66.12,03/22/25
SP-140,199,$404.34,"Mar 24, 2024"
SP-334,Low Stock,$397.46,2025-07-01
SP-482,low stock,276.16,2024-04-28T00:00:00
SP-309,29,,2024-07-09
SP-371,,437,2024-01-01
SP-316,,105.8,2025-05-18
SP-133,415,400,2025-07-28
SP-298,425,177,2024-05-05
SP-417,466,199,2024-09-01
SP-212,UNAVAILABLE,298.72,2025-07-14T00:00:00
SP-190,382,44.31,2024-11-26
SP-213,Low Stock,442.35,2024-02-02
SP-314,296,$345.85,2024-03-19
SP-317,293,428.64,"Apr 17, 2024"
SP-231,479,$328.44,2024-08-12
SP-260,430,176.73,2025-07-13
SP-295,425,291.04,"May 18, 2025"
SP-236,128,258,"Jul 17, 2025"
SP-293,155,426,"Jul 14, 2025"
SP-422,40,288.98,2025-07-12
SP-383,315,$272.14,11/22/24
SP-171,482,30.76,12/24/24
SP-107,UNAVAILABLE,,2025-07-08T00:00:00
SP-428,38,134.83,12/29/24
SP-197,175,424.18,2024-01-11
SP-469,215,18.06,"Apr 21, 2025"
SP-119,292,$43.53,"May 08, 2024"
SP-489,265,$95.14,"Apr 17, 2024"
SP-404,73,$440.47,2025-04-13
SP-437,319,241.99,2024-07-03
SP-338,Low Stock,163,2024-04-19T00:00:00
SP-189,451,91.98,2025-01-13
SP-153,204,294.96,"Nov 10, 2024"
SP-392,,225,"Oct 07, 2024"
SP-383,151,49,2024-09-26
SP-343,230,,2024-05-06T00:00:00
SP-379,188,176.57,04/24/25
SP-403,None,306.73,2024-12-28T00:00:00
SP-470,145,384,08/04/24
SP-470,195,151.84,"Jul 26, 2024"
SP-125,374,350.11,2024-02-08T00:00:00
SP-156,208,$352.51,2024-02-18T00:00:00
SP-244,373,,"Aug 20, 2024"
SP-280,395,,04/03/24
SP-299,103,295.06,2024-02-24T00:00:00
SP-482,116,360.99,05/24/25
SP-377,44,$10.06,"Jul 24, 2025"
SP-368,212,241.14,2025-02-19
SP-268,23,233.44,02/03/25
SP-401,252,18.04,2025-02-16
SP-370,330,,"Jul 23, 2024"
SP-226,119,401.49,2024-09-13
SP-167,347,439.76,2024-03-16
SP-239,85,351,2025-02-22
SP-273,334,$316.34,"Jan 01, 2024"
SP-330,427,287.48,2025-02-11
SP-495,296,299.39,"Jan 23, 2025"
SP-299,,267.0,2024-05-14
SP-440,324,353.31,05/24/24
